link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://openrent.co.uk/2932025,OpenRent,Farringdon,900,64,427,-363,3
https://openrent.co.uk/2924696,OpenRent,Farringdon,1100,79,427,-348,3
https://openrent.co.uk/2906904,OpenRent,Farringdon,2350,168,311,-143,2
https://zoopla.co.uk/to-rent/details/67602458,Latymers,Kensington Olympia,2500,179,237,-58,2
https://zoopla.co.uk/to-rent/details/73479921,Hamiltons Sales & Lettings,King's Cross St Pancras,2600,186,255,-69,2
https://zoopla.co.uk/to-rent/details/73471915,HYBR,Marylebone,2800,200,299,-99,2
https://onthemarket.com/details/19736070,OpenRent - UK,King's Cross St Pancras,2850,204,255,-51,2
https://openrent.co.uk/2921110,OpenRent,Farringdon,3050,218,311,-93,2
https://openrent.co.uk/2936675,OpenRent,Baker Street,3400,243,349,-106,2
https://openrent.co.uk/2936301,OpenRent,Baker Street,3600,257,474,-217,3
https://zoopla.co.uk/to-rent/details/68900080,Redac Strattons - Central London Office,Baker Street,4000,286,349,-63,2
https://openrent.co.uk/2899084,OpenRent,Farringdon,4100,293,427,-134,3
https://openrent.co.uk/2815332,OpenRent,Farringdon,4420,316,496,-180,4
https://zoopla.co.uk/to-rent/details/70138930,Romans & Partners,Holborn,4550,325,378,-53,2
https://zoopla.co.uk/to-rent/details/73470871,OpenRent,Baker Street,4766,340,474,-134,3
https://openrent.co.uk/2936778,OpenRent,Baker Street,5500,393,474,-81,3
https://openrent.co.uk/2856494,OpenRent,Farringdon,6000,429,639,-210,6
