link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://onthemarket.com/details/19941834,OpenRent - UK,Angel,2500,179,235,-56,2
https://zoopla.co.uk/to-rent/details/73730105,Beaufort Green,Kensington Olympia,2750,196,237,-41,2
https://zoopla.co.uk/to-rent/details/73683638,Hamptons - Paddington Lettings,Baker Street,3100,221,349,-128,2
https://zoopla.co.uk/to-rent/details/73730233,Alexander Lewis,Kensington Olympia,3500,250,237,13,2
https://zoopla.co.uk/to-rent/details/73723354,SN Estates London,King's Cross St Pancras,3550,254,346,-92,3
https://zoopla.co.uk/to-rent/details/51287458,Hurford Salvi Carr - Clerkenwell & City Lettings,Chancery Lane,3800,271,319,-48,2
https://zoopla.co.uk/to-rent/details/73725309,UMS London,Regent's Park,3899,278,514,-236,3
https://zoopla.co.uk/to-rent/details/65025035,Golden Eagle,Bond Street,3987,285,492,-207,2
https://zoopla.co.uk/to-rent/details/71006175,Susan Metcalfe Residential,Gloucester Road,5850,418,538,-120,3
https://zoopla.co.uk/to-rent/details/73728938,Benham and Reeves - Kensington,Gloucester Road,7501,,,,3
https://zoopla.co.uk/to-rent/details/72653063,Draker KFH Sloane Square,Victoria,12350,,,,5
