link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://zoopla.co.uk/to-rent/details/73783747,RHW Estates,Angel,2750,196,235,-39,2
https://zoopla.co.uk/to-rent/details/65134715,Stirling Ackroyd - Shoreditch,Old Street,2800,200,235,-35,2
https://zoopla.co.uk/to-rent/details/58907964,Wiseman Property,King's Cross St Pancras,3142,224,346,-122,3
https://zoopla.co.uk/to-rent/details/73751568,OpenRent,Kensington Olympia,3200,229,237,-8,2
https://zoopla.co.uk/to-rent/details/73755184,Kinleigh Folkard & Hayward - Islington,Holborn,3600,257,378,-121,2
https://zoopla.co.uk/to-rent/details/73759589,Sincere Lettings,Marylebone,3700,264,411,-147,3
https://onthemarket.com/details/19978916,OpenRent - UK,Covent Garden,3895,278,391,-113,2
https://zoopla.co.uk/to-rent/details/73759586,Bentley & Co,King's Cross St Pancras,4333,310,436,-126,4
https://zoopla.co.uk/to-rent/details/73585441,OpenRent,King's Cross St Pancras,4750,339,436,-97,4
https://zoopla.co.uk/to-rent/details/73754424,Austin Homes,Marylebone,5500,393,411,-18,3
