link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://openrent.co.uk/2910152,OpenRent,Farringdon,2300,164,311,-147,2
https://openrent.co.uk/2937686,OpenRent,Regent's Park,2800,200,354,-154,2
https://zoopla.co.uk/to-rent/details/73526174,London Central Portfolio LTD,Victoria,3142,224,356,-132,2
https://onthemarket.com/details/13270279,Hugh F Shaw & Co - Marylebone,Baker Street,3250,232,349,-117,2
https://openrent.co.uk/2937890,OpenRent,Gloucester Road,3250,232,538,-306,3
https://openrent.co.uk/2944192,OpenRent,Regent's Park,3400,243,354,-111,2
https://zoopla.co.uk/to-rent/details/73517472,Newington Real Estate Agents Limited,Lancaster Gate,3683,263,295,-32,2
https://openrent.co.uk/2803833,OpenRent,Lancaster Gate,3800,271,462,-191,3
https://openrent.co.uk/2775050,OpenRent,Goodge Street,3835,274,348,-74,2
https://openrent.co.uk/2942100,OpenRent,Old Street,3990,285,363,-78,3
https://openrent.co.uk/2872841,OpenRent,Victoria,4600,329,706,-377,3
https://openrent.co.uk/2941529,OpenRent,Regent's Park,4650,332,495,-163,4
https://openrent.co.uk/2939848,OpenRent,King's Cross St Pancras,5250,375,436,-61,4
https://openrent.co.uk/1771440,OpenRent,Covent Garden,5345,382,637,-255,3
https://zoopla.co.uk/to-rent/details/73109401,Grant J Bates Property,Lancaster Gate,6912,494,462,32,3
