link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://zoopla.co.uk/to-rent/details/29784975,Champions,King's Cross St Pancras,2383,170,255,-85,2
https://onthemarket.com/details/19995744,OpenRent - UK,Kensington Olympia,2700,193,237,-44,2
https://zoopla.co.uk/to-rent/details/73771148,Oakford Estates Ltd,Regent's Park,2999,214,354,-140,2
https://zoopla.co.uk/to-rent/details/73795924,Oakford Estates Ltd,Regent's Park,3683,263,514,-251,3
https://zoopla.co.uk/to-rent/details/55731862,Sandfords - Regent's Park,Marylebone,3792,271,299,-28,2
https://onthemarket.com/details/19995715,OpenRent - UK,King's Cross St Pancras,3991,285,346,-61,3
https://zoopla.co.uk/to-rent/details/73729149,Property Inside London,Holborn,4117,294,609,-315,3
https://zoopla.co.uk/to-rent/details/73665272,OpenRent,Goodge Street,4600,329,348,-19,2
https://zoopla.co.uk/to-rent/details/71208902,Winkworth - West End,Holborn,4767,340,609,-268,3
https://zoopla.co.uk/to-rent/details/73647520,Marsh & Parsons - Marylebone & Mayfair,Bond Street,4983,356,492,-136,2
https://zoopla.co.uk/to-rent/details/73792539,Draker KFH Sloane Square,Victoria,5200,371,356,15,2
https://zoopla.co.uk/to-rent/details/73750017,JBrown International,Marble Arch,5350,382,540,-158,4
https://zoopla.co.uk/to-rent/details/73800626,Marsh & Parsons - Marylebone & Mayfair,Baker Street,6933,495,474,21,3
