link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://zoopla.co.uk/to-rent/details/73593241,OpenRent,Marble Arch,2750,196,408,-212,2
https://zoopla.co.uk/to-rent/details/73639403,OpenRent,Regent's Park,2925,209,514,-305,3
https://zoopla.co.uk/to-rent/details/73609203,Newington Real Estate Agents Limited,Oxford Circus,3012,215,408,-193,2
https://zoopla.co.uk/to-rent/details/73648327,Hudsons,Oxford Circus,3250,232,408,-176,2
https://zoopla.co.uk/to-rent/details/58841663,Hudsons,Oxford Circus,3402,243,408,-165,2
https://zoopla.co.uk/to-rent/details/73576298,Newington Real Estate Agents Limited,Oxford Circus,3597,257,408,-151,2
https://zoopla.co.uk/to-rent/details/73609616,PMP International,Baker Street,3850,275,474,-199,3
https://zoopla.co.uk/to-rent/details/73540711,Benham and Reeves - Hampstead,Marylebone,3900,279,299,-20,2
https://zoopla.co.uk/to-rent/details/73647128,OpenRent,Regent's Park,4800,343,495,-152,4
https://zoopla.co.uk/to-rent/details/73638964,UKMate Ltd,Baker Street,5174,370,347,23,4
https://zoopla.co.uk/to-rent/details/73646420,Messila Residential,Gloucester Road,5417,387,538,-151,3
https://zoopla.co.uk/to-rent/details/73636084,Oakford Estates Ltd,Regent's Park,5525,395,495,-100,4
https://zoopla.co.uk/to-rent/details/73630092,Kaden Properties,Regent's Park,6067,433,585,-152,5
https://zoopla.co.uk/to-rent/details/73637882,Bentley & Co,Regent's Park,6933,495,585,-90,5
