link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://zoopla.co.uk/to-rent/details/70990909,John D Wood & Co. - Earls Court Lettings,Gloucester Road,2700,193,353,-160,2
https://zoopla.co.uk/to-rent/details/71007904,Storeys,Holborn,3350,239,378,-139,2
https://zoopla.co.uk/to-rent/details/73746982,Venice Properties,Marylebone,3800,271,411,-140,3
https://zoopla.co.uk/to-rent/details/58317377,Champions,Bond Street,4008,286,492,-206,2
https://onthemarket.com/details/19913859,OpenRent - UK,Regent's Park,4150,296,495,-199,4
https://zoopla.co.uk/to-rent/details/73736929,Prime London (Central),Soho,4299,307,399,-92,2
https://zoopla.co.uk/to-rent/details/73746173,Marsh & Parsons - Earls Court,Gloucester Road,4500,321,538,-217,3
https://zoopla.co.uk/to-rent/details/73748938,OpenRent,King's Cross St Pancras,4500,321,436,-115,4
https://zoopla.co.uk/to-rent/details/73740914,Unihood,Regent's Park,4680,334,514,-180,3
https://zoopla.co.uk/to-rent/details/73720678,Marsh & Parsons - Marylebone & Mayfair,Baker Street,5000,357,349,8,2
