link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://zoopla.co.uk/to-rent/details/73655549,OpenRent,Angel,2350,168,235,-67,2
https://zoopla.co.uk/to-rent/details/69556677,Alvi Real Estate,Marble Arch,2600,186,408,-222,2
https://zoopla.co.uk/to-rent/details/73658970,Draker KFH Sloane Square,Covent Garden,3012,215,391,-176,2
https://zoopla.co.uk/to-rent/details/73633609,Hamptons - Paddington Lettings,Baker Street,3250,232,349,-117,2
https://zoopla.co.uk/to-rent/details/73689366,Hurford Salvi Carr - Islington & Shoreditch,Old Street,3300,236,363,-127,3
https://zoopla.co.uk/to-rent/details/58056538,BPS London,Regent's Park,3400,243,354,-111,2
https://zoopla.co.uk/to-rent/details/73688524,VNRE,Baker Street,3450,246,349,-103,2
https://zoopla.co.uk/to-rent/details/73651553,Newington Real Estate Agents Limited,Lancaster Gate,3640,260,295,-35,2
https://zoopla.co.uk/to-rent/details/61078084,Winkworth - West End,Covent Garden,3683,263,391,-128,2
https://zoopla.co.uk/to-rent/details/73686196,OpenRent,King's Cross St Pancras,3792,271,346,-75,3
https://zoopla.co.uk/to-rent/details/73612581,LADYBIRD LIVING,Covent Garden,3800,271,391,-120,2
https://zoopla.co.uk/to-rent/details/73690467,Carter & Reeves,Chancery Lane,3800,271,496,-225,4
https://zoopla.co.uk/to-rent/details/73686909,Venice Properties,Marylebone,4000,286,411,-125,3
https://zoopla.co.uk/to-rent/details/68008886,London Homes Property Limited,Holborn,4100,293,378,-85,2
https://zoopla.co.uk/to-rent/details/73689863,OpenRent,Regent's Park,4200,300,495,-195,4
https://zoopla.co.uk/to-rent/details/73668189,Newington Real Estate Agents Limited,Baker Street,4268,305,349,-44,2
https://zoopla.co.uk/to-rent/details/73682638,Hamptons - Islington Lettings,Angel,4312,308,329,-21,3
https://zoopla.co.uk/to-rent/details/73681498,Alvi Real Estate,Gloucester Road,4500,321,538,-217,3
https://zoopla.co.uk/to-rent/details/73618267,SN Estates London,Regent's Park,4650,332,495,-163,4
https://zoopla.co.uk/to-rent/details/73651123,Newington Real Estate Agents Limited,Baker Street,5135,367,349,18,2
https://zoopla.co.uk/to-rent/details/73675866,Kaden Properties,Regent's Park,5287,378,495,-117,4
https://zoopla.co.uk/to-rent/details/73681029,London Victoria Groups Ltd,Victoria,6500,464,706,-242,3
https://zoopla.co.uk/to-rent/details/73660872,AP REAL ESTATE SOLUTIONS LTD,Marylebone,7600,,,,6
https://openrent.co.uk/2665355,OpenRent,Baker Street,7800,,,,6
https://zoopla.co.uk/to-rent/details/72393801,Landstones,Gloucester Road,8498,,,,4
https://zoopla.co.uk/to-rent/details/73665302,Napier Watt,Marble Arch,11483,,,,3
