link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://zoopla.co.uk/to-rent/details/73728766,OpenRent,Angel,2700,193,235,-42,2
https://zoopla.co.uk/to-rent/details/73628283,OpenRent,Baker Street,2900,207,349,-142,2
https://zoopla.co.uk/to-rent/details/73738849,Lizard Property,Oxford Circus,3100,221,408,-187,2
https://zoopla.co.uk/to-rent/details/73769651,Austin Homes,Angel,3600,257,235,22,2
https://zoopla.co.uk/to-rent/details/73747063,Venice Properties,Marylebone,3800,271,411,-140,3
https://onthemarket.com/details/19985547,OpenRent - UK,Kensington Olympia,3987,285,362,-77,3
https://zoopla.co.uk/to-rent/details/73790399,OpenRent,Baker Street,4300,307,349,-42,2
https://onthemarket.com/details/19992579,OpenRent - UK,Goodge Street,4500,321,348,-27,2
https://zoopla.co.uk/to-rent/details/73789058,Kubie Gold Associates,Baker Street,4600,329,474,-145,3
https://zoopla.co.uk/to-rent/details/73786183,"Park Lord, London",Baker Street,5092,364,349,15,2
https://zoopla.co.uk/to-rent/details/73761411,Hauzoo,Angel,5250,375,436,-61,4
https://zoopla.co.uk/to-rent/details/73783842,JLL - Mayfair,Soho,5417,387,637,-250,3
https://zoopla.co.uk/to-rent/details/70633803,Zach Knightons,Angel,5633,402,436,-34,4
https://zoopla.co.uk/to-rent/details/68678733,Strutt & Parker - Knightsbridge & Belgravia,Bond Street,10833,,,,3
