link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://onthemarket.com/details/19836835,OpenRent - UK,Gloucester Road,2704,193,353,-160,2
https://zoopla.co.uk/to-rent/details/71031102,Panda & Partners,Victoria,3000,214,356,-142,2
https://zoopla.co.uk/to-rent/details/73569757,SN Estates London,King's Cross St Pancras,3315,237,255,-18,2
https://onthemarket.com/details/19829759,OpenRent - UK,Angel,3400,243,329,-86,3
https://zoopla.co.uk/to-rent/details/73578347,City & Urban International Shoreditch,Baker Street,3500,250,349,-99,2
https://zoopla.co.uk/to-rent/details/73582928,SN Estates London,King's Cross St Pancras,3700,264,346,-82,3
https://zoopla.co.uk/to-rent/details/70544173,Andrew Reeves - Westminster & Belgravia,Victoria,3750,268,356,-88,2
https://zoopla.co.uk/to-rent/details/72982459,Kinleigh Folkard & Hayward - Notting Hill,Regent's Park,4000,286,495,-209,4
https://zoopla.co.uk/to-rent/details/70701148,Hemmingfords,Old Street,4500,321,363,-42,3
https://zoopla.co.uk/to-rent/details/73539102,Tyers Yan Management,Goodge Street,4745,339,348,-9,2
https://onthemarket.com/details/19829765,OpenRent - UK,Lancaster Gate,6500,464,462,2,3
https://zoopla.co.uk/to-rent/details/73580083,Frestons,Gloucester Road,6500,464,1260,-796,4
