link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://zoopla.co.uk/to-rent/details/73596588,UMS London,Regent's Park,2939,210,354,-144,2
https://zoopla.co.uk/to-rent/details/56536944,Westways,Lancaster Gate,2950,211,462,-251,3
https://zoopla.co.uk/to-rent/details/73603636,Portico - Bloomsbury,Regent's Park,3400,243,354,-111,2
https://zoopla.co.uk/to-rent/details/73524564,Austin Homes,Angel,3700,264,235,29,2
https://zoopla.co.uk/to-rent/details/73525608,Portico - Bloomsbury,King's Cross St Pancras,3750,268,346,-78,3
https://zoopla.co.uk/to-rent/details/64386732,London Move,Holborn,4000,286,609,-323,3
https://zoopla.co.uk/to-rent/details/70972268,Belvoir - Hendon,Regent's Park,4200,300,514,-214,3
https://zoopla.co.uk/to-rent/details/73584370,UMS London,Regent's Park,4399,314,495,-181,4
https://zoopla.co.uk/to-rent/details/73596520,ea2,Old Street,4500,321,363,-42,3
https://zoopla.co.uk/to-rent/details/73582924,SN Estates London,Regent's Park,4800,343,495,-152,4
https://zoopla.co.uk/to-rent/details/73570996,OpenRent,Victoria,4885,349,356,-7,2
https://zoopla.co.uk/to-rent/details/50381358,Carter Jonas - Mayfair,Bond Street,5460,390,492,-102,2
https://zoopla.co.uk/to-rent/details/73594876,Messila Residential,Victoria,6500,464,540,-76,4
https://zoopla.co.uk/to-rent/details/73608965,Pomp Properties,Gloucester Road,7500,536,538,-2,3
