link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://zoopla.co.uk/to-rent/details/73654609,Alvares Estates,Kensington Olympia,2500,179,237,-58,2
https://zoopla.co.uk/to-rent/details/46926046,Onslows Estate Agents,Kensington Olympia,3012,215,237,-22,2
https://zoopla.co.uk/to-rent/details/73674861,tlc Estate Agents,Gloucester Road,3350,239,353,-114,2
https://zoopla.co.uk/to-rent/details/73677274,OpenRent,Lancaster Gate,3565,255,462,-207,3
https://zoopla.co.uk/to-rent/details/73638899,St George's Fields,Marble Arch,3748,268,408,-140,2
https://openrent.co.uk/156326,OpenRent,Regent's Park,3900,279,495,-216,4
https://zoopla.co.uk/to-rent/details/73582539,Cluttons - Islington,Holborn,4000,286,609,-323,3
https://zoopla.co.uk/to-rent/details/73653858,Frank Harris & Co. City,Chancery Lane,4498,321,539,-218,3
https://zoopla.co.uk/to-rent/details/73677662,JC Living,Chancery Lane,4983,356,319,37,2
https://zoopla.co.uk/to-rent/details/73601027,OpenRent,Regent's Park,6500,464,585,-121,5
https://zoopla.co.uk/to-rent/details/62747343,Interlet International Sales and Lettings,Kensington Olympia,6750,482,866,-384,6
https://zoopla.co.uk/to-rent/details/60552738,Stirling Ackroyd - West End,Holborn,6912,494,609,-115,3
