link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://openrent.co.uk/2888112,OpenRent,Regent's Park,800,57,514,-457,3
https://onthemarket.com/details/19651107,OpenRent - UK,King's Cross St Pancras,2275,162,255,-92,2
https://zoopla.co.uk/to-rent/details/73379366,OpenRent,King's Cross St Pancras,2275,162,255,-92,2
https://zoopla.co.uk/to-rent/details/71316341,Davis and Gibbs,King's Cross St Pancras,2300,164,255,-91,2
https://onthemarket.com/details/19704174,OpenRent - UK,Kensington Olympia,2650,189,237,-48,2
https://onthemarket.com/details/19411863,Citydeal Estates - Acton,Marylebone,2800,200,299,-99,2
https://onthemarket.com/details/19708178,"99home - Wembley Sutton Business Centre, Restmor Way Wallington, Surrey",Old Street,2847,203,235,-32,2
https://zoopla.co.uk/to-rent/details/67446561,Global House Estates,Chancery Lane,2850,204,319,-115,2
https://rightmove.co.uk/properties/89553099,"Hamptons, Paddington Estate Agent",Lancaster Gate,3000,214,295,-81,2
https://zoopla.co.uk/to-rent/details/70592874,Hastings International - London Bridge,Old Street,3000,214,235,-21,2
https://onthemarket.com/details/16527515,Fyfe Mcdade - Bloomsbury,Old Street,3033,217,235,-18,2
https://openrent.co.uk/2917493,OpenRent,Baker Street,3100,221,474,-253,3
https://zoopla.co.uk/to-rent/details/73447680,Benham and Reeves - City,Angel,3150,225,235,-10,2
https://rightmove.co.uk/properties/88329075,"Bamboo Living, London Estate Agent",Marylebone,3210,229,299,-70,2
https://rightmove.co.uk/properties/89504589,"Hamptons, Paddington Estate Agent",Marylebone,3250,232,299,-67,2
https://onthemarket.com/details/19594896,OpenRent - UK,Chancery Lane,3300,236,319,-83,2
https://onthemarket.com/details/19610020,OpenRent - UK,Chancery Lane,3500,250,319,-69,2
https://zoopla.co.uk/to-rent/details/73333533,OpenRent,Chancery Lane,3500,250,319,-69,2
https://zoopla.co.uk/to-rent/details/72970529,Zoopla,Old Street,3500,250,235,15,2
https://onthemarket.com/details/17689544,OnTheMarket,Marylebone,3500,250,411,-161,3
https://openrent.co.uk/2200185,OpenRent,Soho,3500,250,637,-387,3
https://rightmove.co.uk/properties/88467768,"Hamptons, Paddington Estate Agent",Marylebone,3575,255,299,-44,2
https://rightmove.co.uk/properties/88827213,"Hamptons, Paddington Estate Agent",Marylebone,3600,257,299,-42,2
https://zoopla.co.uk/to-rent/details/73442773,SN Estates London,King's Cross St Pancras,3600,257,346,-89,3
https://onthemarket.com/details/18947888,OnTheMarket,King's Cross St Pancras,3650,261,255,6,2
https://zoopla.co.uk/to-rent/details/64965384,JOHNS&CO - City and Wapping,Old Street,3683,263,235,28,2
https://zoopla.co.uk/to-rent/details/72861474,OpenRent,Marylebone,3695,264,299,-35,2
https://rightmove.co.uk/properties/84065867,"Berkeley & Woods, London Estate Agent",Gloucester Road,3700,264,353,-89,2
https://onthemarket.com/details/19504446,OpenRent - UK,Chancery Lane,3800,271,319,-48,2
https://openrent.co.uk/2908822,OpenRent,Soho,3800,271,637,-366,3
https://onthemarket.com/details/8836546,OnTheMarket,Old Street,3850,275,235,40,2
https://zoopla.co.uk/to-rent/details/73243860,Hamptons - Paddington Lettings,Marylebone,3875,277,299,-22,2
https://zoopla.co.uk/to-rent/details/51843552,Drivers & Norris,Old Street,3895,278,235,43,2
https://zoopla.co.uk/to-rent/details/40033134,JC International Property,Old Street,3900,279,235,44,2
