link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://openrent.co.uk/2946151,OpenRent,Regent's Park,1200,86,354,-268,2
https://zoopla.co.uk/to-rent/details/55069591,Bentley & Co,King's Cross St Pancras,2643,189,255,-66,2
https://zoopla.co.uk/to-rent/details/73527718,"Cool Cribs Estate Agents, London",King's Cross St Pancras,3098,221,255,-34,2
https://zoopla.co.uk/to-rent/details/73536124,Hurford Salvi Carr - Islington & Shoreditch,Angel,3250,232,235,-3,2
https://zoopla.co.uk/to-rent/details/60310236,Sandfords - Regent's Park,Regent's Park,3445,246,354,-108,2
https://zoopla.co.uk/to-rent/details/73549192,Lexingtons,Regent's Park,3650,261,354,-93,2
https://zoopla.co.uk/to-rent/details/73521198,"Cool Cribs Estate Agents, London",Victoria,3683,263,706,-443,3
https://zoopla.co.uk/to-rent/details/73569756,SN Estates London,King's Cross St Pancras,3900,279,346,-67,3
https://zoopla.co.uk/to-rent/details/73519203,Oakford Estates Ltd,Regent's Park,4225,302,514,-212,3
https://zoopla.co.uk/to-rent/details/55279822,Bentley & Co,King's Cross St Pancras,4550,325,436,-111,4
https://zoopla.co.uk/to-rent/details/59719489,Dendrow,Marylebone,4750,339,299,40,2
https://zoopla.co.uk/to-rent/details/73530636,Carter & Reeves,King's Cross St Pancras,4800,343,436,-93,4
https://zoopla.co.uk/to-rent/details/73522039,Newington Real Estate Agents Limited,Covent Garden,5417,387,391,-4,2
https://openrent.co.uk/2945820,OpenRent,Gloucester Road,7500,536,538,-2,3
https://openrent.co.uk/2945967,OpenRent,Baker Street,7600,,,,6
