link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://zoopla.co.uk/to-rent/details/61078036,Winkworth - West End,Regent's Park,2817,201,354,-153,2
https://zoopla.co.uk/to-rent/details/56143378,Robert Irving Burns,Oxford Circus,3142,224,408,-184,2
https://zoopla.co.uk/to-rent/details/73603509,Kubie Gold Associates,Baker Street,3295,235,349,-114,2
https://zoopla.co.uk/to-rent/details/73594404,Drivers & Norris,Old Street,3500,250,235,15,2
https://zoopla.co.uk/to-rent/details/60520960,Robert Irving Burns,Covent Garden,3575,255,391,-136,2
https://zoopla.co.uk/to-rent/details/61078192,Winkworth - West End,Covent Garden,3792,271,391,-120,2
https://zoopla.co.uk/to-rent/details/62106154,Metropole,Baker Street,4000,286,474,-188,3
https://zoopla.co.uk/to-rent/details/67806142,Landstones,Gloucester Road,4008,286,353,-67,2
https://zoopla.co.uk/to-rent/details/73609556,Newington Real Estate Agents Limited,Baker Street,4312,308,349,-41,2
https://zoopla.co.uk/to-rent/details/73611472,Kubie Gold Associates,Baker Street,4400,314,474,-160,3
https://zoopla.co.uk/to-rent/details/72370204,Bamboo Living Ltd,Covent Garden,4799,343,637,-294,3
https://zoopla.co.uk/to-rent/details/73536029,Carter & Reeves,King's Cross St Pancras,4950,354,436,-82,4
https://zoopla.co.uk/to-rent/details/73593655,Aston Chase,Baker Street,5000,357,474,-117,3
https://zoopla.co.uk/to-rent/details/73581882,Sandfords - Regent's Park,Baker Street,5200,371,349,22,2
https://zoopla.co.uk/to-rent/details/62060669,Onslows Estate Agents,Gloucester Road,5417,387,538,-151,3
https://zoopla.co.uk/to-rent/details/39567710,Champions,Gloucester Road,5850,418,538,-120,3
https://zoopla.co.uk/to-rent/details/71199571,Draker KFH Sloane Square,Gloucester Road,8645,,,,3
