link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://zoopla.co.uk/to-rent/details/67488301,eXp World UK,Kensington Olympia,2350,168,237,-69,2
https://zoopla.co.uk/to-rent/details/54935863,Hudsons,Oxford Circus,3012,215,408,-193,2
https://zoopla.co.uk/to-rent/details/73702252,The Chant Group,Old Street,3200,229,235,-6,2
https://zoopla.co.uk/to-rent/details/73705992,Oakford Estates Ltd,Regent's Park,3250,232,514,-282,3
https://zoopla.co.uk/to-rent/details/62431129,Hudsons,Regent's Park,3358,240,354,-114,2
https://zoopla.co.uk/to-rent/details/73702148,Stirling Ackroyd - Clerkenwell,Angel,3750,268,436,-168,4
https://zoopla.co.uk/to-rent/details/56917920,Jeffersons Estate Agents Limited,Baker Street,4500,321,349,-28,2
https://zoopla.co.uk/to-rent/details/73701027,Hamptons - Chelsea Lettings,Gloucester Road,4500,321,538,-217,3
https://onthemarket.com/details/19914799,OpenRent - UK,Oxford Circus,5200,371,408,-37,2
https://zoopla.co.uk/to-rent/details/73706656,Newington Real Estate Agents Limited,Baker Street,5425,388,474,-86,3
https://zoopla.co.uk/to-rent/details/61971270,Winkworth - Hammersmith,Kensington Olympia,5633,402,768,-366,5
https://zoopla.co.uk/to-rent/details/73702453,Newington Real Estate Agents Limited,Baker Street,8667,,,,3
