link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://openrent.co.uk/2887292,OpenRent,Bayswater,2250,161,229,-68,2
https://zoopla.co.uk/to-rent/details/55416342,Latymers,Kensington Olympia,2400,171,237,-66,2
https://zoopla.co.uk/to-rent/details/67297187,Winkworth - Pimlico,Victoria,2650,189,356,-167,2
https://openrent.co.uk/2912682,OpenRent,Covent Garden,2690,192,391,-199,2
https://onthemarket.com/details/19708185,OnTheMarket,Tottenham Court Road,2925,209,229,-20,2
https://onthemarket.com/details/16158626,eXp UK - London,Victoria,3000,214,356,-142,2
https://zoopla.co.uk/to-rent/details/73429649,Hellas Helvetia Ltd,Bayswater,3033,217,229,-12,2
https://openrent.co.uk/2880890,OpenRent,Gloucester Road,3100,221,538,-317,3
https://onthemarket.com/details/19696833,Hamiltons Sales & Lettings - Marylebone,Regent Park,3250,232,354,-122,2
https://openrent.co.uk/2931121,OpenRent,Bayswater,3300,236,314,-78,3
https://zoopla.co.uk/to-rent/details/73377411,Filtons,Regent Park,3450,246,514,-268,3
https://openrent.co.uk/2909426,OpenRent,Bayswater,3510,251,314,-63,3
https://zoopla.co.uk/to-rent/details/73434574,LADYBIRD LIVING,Bayswater,3600,257,229,28,2
https://onthemarket.com/details/19704078,Coolcribs - Hampstead,Bayswater,3748,268,314,-46,3
https://zoopla.co.uk/to-rent/details/56669494,Aston Chase,Baker Street,3878,277,349,-72,2
https://onthemarket.com/details/19707183,Farrell Lewis Estates - Acton,Victoria,3950,282,356,-74,2
https://openrent.co.uk/2854724,OpenRent,Bayswater,4000,286,384,-98,4
https://zoopla.co.uk/to-rent/details/67806114,Hudsons,Regent Park,4160,297,354,-57,2
https://zoopla.co.uk/to-rent/details/55727877,Bentley & Co,Regent Park,4225,302,514,-212,3
https://openrent.co.uk/2846791,OpenRent,Bayswater,4250,304,384,-80,4
https://rightmove.co.uk/properties/89651394,"OpenRent, London Estate Agent",Covent Garden,4500,321,391,-70,2
https://openrent.co.uk/2928981,OpenRent,Covent Garden,4500,321,391,-70,2
https://zoopla.co.uk/to-rent/details/73434172,Kubie Gold Associates,Marble Arch,4600,329,632,-303,3
https://zoopla.co.uk/to-rent/details/55428050,Latymers,Kensington Olympia,4700,336,540,-204,4
https://zoopla.co.uk/to-rent/details/73433294,Newington Real Estate Agents Limited,Baker Street,4745,339,349,-10,2
https://openrent.co.uk/2924213,OpenRent,South Kensington,4750,339,384,-45,4
https://zoopla.co.uk/to-rent/details/66226625,Harris Le Beau,Bond Street,4983,356,492,-136,2
https://zoopla.co.uk/to-rent/details/65813338,Manors,Baker Street,5200,371,349,22,2
https://openrent.co.uk/2851082,OpenRent,Covent Garden,5200,371,957,-586,4
https://zoopla.co.uk/to-rent/details/60053105,Carter Jonas - Mayfair,Bond Street,5500,393,492,-99,2
https://zoopla.co.uk/to-rent/details/72926739,Messila Residential,Bond Street,5633,402,760,-358,3
https://zoopla.co.uk/to-rent/details/73250938,JLL - Mayfair,Oxford Circus,5850,418,602,-184,3
https://openrent.co.uk/2856801,OpenRent,Victoria,6018,430,706,-276,3
https://zoopla.co.uk/to-rent/details/73360073,OpenRent,Regent Park,6299,450,495,-45,4
https://zoopla.co.uk/to-rent/details/72941081,Kubie Gold Associates,Baker Street,6500,464,474,-10,3
https://zoopla.co.uk/to-rent/details/69997255,Robinson Marsh,Baker Street,8400,,,,3
https://zoopla.co.uk/to-rent/details/73439492,Benham and Reeves - Knightsbridge,South Kensington,9945,,,,3
https://zoopla.co.uk/to-rent/details/73036384,Hoffen West,Victoria,10617,,,,3
