link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://zoopla.co.uk/to-rent/details/44663695,Home & Away Estates,Baker Street,2600,186,349,-163,2
https://zoopla.co.uk/to-rent/details/73708020,OpenRent,Covent Garden,2950,211,391,-180,2
https://zoopla.co.uk/to-rent/details/73712930,CRM,Chancery Lane,3293,235,319,-84,2
https://onthemarket.com/details/19921554,OpenRent - UK,Angel,3500,250,235,15,2
https://zoopla.co.uk/to-rent/details/73713251,Newington Real Estate Agents Limited,Baker Street,4117,294,349,-55,2
https://zoopla.co.uk/to-rent/details/55606091,Manors,Baker Street,4333,310,349,-40,2
https://zoopla.co.uk/to-rent/details/73713076,Oakford Estates Ltd,Regent's Park,4333,310,495,-186,4
https://zoopla.co.uk/to-rent/details/73713569,One Move Property Group Ltd,Goodge Street,4500,321,348,-27,2
https://zoopla.co.uk/to-rent/details/73630274,OpenRent,Kensington Olympia,4780,341,540,-199,4
https://zoopla.co.uk/to-rent/details/73713446,Newington Real Estate Agents Limited,Regent's Park,4962,354,514,-160,3
https://zoopla.co.uk/to-rent/details/73713120,Oakford Estates Ltd,Regent's Park,5092,364,495,-131,4
https://zoopla.co.uk/to-rent/details/73712534,Messila Residential,Baker Street,5200,371,474,-103,3
https://zoopla.co.uk/to-rent/details/72399701,Bamboo Living Ltd,Baker Street,5399,386,347,39,4
https://zoopla.co.uk/to-rent/details/73706572,Newington Real Estate Agents Limited,Baker Street,5400,386,474,-88,3
https://zoopla.co.uk/to-rent/details/59377677,OB Private,Holborn,6067,433,609,-176,3
https://zoopla.co.uk/to-rent/details/73710396,London House,King's Cross St Pancras,7003,500,487,13,6
https://zoopla.co.uk/to-rent/details/73572326,Winkworth - Paddington & Bayswater,Baker Street,8500,,,,4
https://zoopla.co.uk/to-rent/details/73543378,Manzell,Baker Street,11000,,,,4
