link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://zoopla.co.uk/to-rent/details/73431768,AP Living London,Bayswater,2600,186,229,-43,2
https://onthemarket.com/details/19468422,OpenRent - UK,Victoria,3000,214,356,-142,2
https://onthemarket.com/details/19645406,OpenRent - UK,Regent Park,3250,232,354,-122,2
https://zoopla.co.uk/to-rent/details/73429335,Hamiltons Sales & Lettings,Regent Park,3250,232,354,-122,2
https://onthemarket.com/details/19679551,OpenRent - UK,Baker Street,3500,250,349,-99,2
https://rightmove.co.uk/properties/89599914,"Newington estates, London Estate Agent",Baker Street,3683,263,349,-86,2
https://zoopla.co.uk/to-rent/details/70740128,Nest Seekers International,South Kensington,3900,279,229,50,2
https://zoopla.co.uk/to-rent/details/73431385,tlc Estate Agents,Gloucester Road,4250,304,353,-49,2
https://zoopla.co.uk/to-rent/details/73430417,Londonwide Estates,Bayswater,4250,304,314,-10,3
https://zoopla.co.uk/to-rent/details/73410084,Kubie Gold Associates,Baker Street,4500,321,474,-153,3
https://zoopla.co.uk/to-rent/details/70353190,Hugh F Shaw & Co Ltd,Bond Street,4767,340,492,-152,2
https://zoopla.co.uk/to-rent/details/65331050,Winkworth - Knightsbridge & Chelsea,South Kensington,4767,340,314,26,3
https://zoopla.co.uk/to-rent/details/73427744,OpenRent,Regent Park,4800,343,495,-152,4
https://zoopla.co.uk/to-rent/details/73399389,Parkes Estate Agents,Gloucester Road,4983,356,353,3,2
https://zoopla.co.uk/to-rent/details/73311867,Qube Lettings,Bond Street,5460,390,492,-102,2
https://zoopla.co.uk/to-rent/details/67840733,Century 21 London Central,Marble Arch,5500,393,632,-239,3
https://zoopla.co.uk/to-rent/details/65096623,Golden Eagle,Marble Arch,5742,410,632,-222,3
https://zoopla.co.uk/to-rent/details/72433224,Harris Le Beau,Regent Park,6000,429,514,-85,3
https://zoopla.co.uk/to-rent/details/57096688,Carter Jonas - Mayfair,Bond Street,7410,529,760,-231,3
https://zoopla.co.uk/to-rent/details/70293320,Kinleigh Folkard & Hayward - Marylebone,Baker Street,8000,,,,3
https://zoopla.co.uk/to-rent/details/58576480,Strutt & Parker - Kensington,Gloucester Road,14000,,,,4
