link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://zoopla.co.uk/to-rent/details/73689014,OpenRent,Baker Street,2500,179,349,-170,2
https://zoopla.co.uk/to-rent/details/73688422,99Home Ltd,Baker Street,2575,184,349,-165,2
https://zoopla.co.uk/to-rent/details/73656920,Tates,Kensington Olympia,2800,200,237,-37,2
https://zoopla.co.uk/to-rent/details/73627346,OpenRent,Old Street,3000,214,235,-21,2
https://zoopla.co.uk/to-rent/details/61069176,Winkworth - Clerkenwell & City,Angel,3300,236,235,1,2
https://zoopla.co.uk/to-rent/details/61068623,Winkworth - Clerkenwell & City,Angel,3500,250,329,-79,3
https://onthemarket.com/details/19910623,OpenRent - UK,Regent's Park,3850,275,514,-239,3
https://zoopla.co.uk/to-rent/details/65096616,Golden Eagle,Baker Street,4333,310,349,-40,2
https://zoopla.co.uk/to-rent/details/73662896,LiFE Residential - Nine Elms Riverside,Covent Garden,4500,321,391,-70,2
https://zoopla.co.uk/to-rent/details/73676697,Tyers Yan Management,Goodge Street,4745,339,534,-195,3
https://zoopla.co.uk/to-rent/details/73669099,Marsh & Parsons - Marylebone & Mayfair,Bond Street,4767,340,492,-152,2
https://zoopla.co.uk/to-rent/details/73668255,Newington Real Estate Agents Limited,Baker Street,5135,367,349,18,2
https://onthemarket.com/details/19910493,OpenRent - UK,King's Cross St Pancras,5330,381,436,-55,4
https://zoopla.co.uk/to-rent/details/73671786,Newington Real Estate Agents Limited,Baker Street,5525,395,347,48,4
https://zoopla.co.uk/to-rent/details/73672256,Chancellors - St John's Wood,Baker Street,6000,429,474,-45,3
